time (s),CA (deg),P(bar),T(K),V (m3),Heat Release (MW),dWv_dt (Vmean),cylinder mass (kg),phi,mdot_in,mdot_fuel,mdot_radicals,mdot_out,heat_loss [MW],heat_coeff [W/m2/K]
1.9704901146224059,-69.738262174606,2.8207773948632036,487.94608186843766,0.9557337391584964,-1.619211447299996e-07,-1125769.3209859568,1.9104722500011504,0.07692793011963063,-0.0,0.0,0.0,0.0,0.06282418399225052,356.1195751681951
1.9720052661375573,-69.238262174606,2.858526298471023,489.6015707625652,0.9463123493019223,-1.6013494973198824e-07,-1145534.1243849027,1.9104722500011504,0.07692793011963062,-0.0,0.0,0.0,0.0,0.06562751449500058,358.99480776555225
1.9735204176527088,-68.73826217460606,2.897033947528217,491.27329766161847,0.9369220767312377,-1.514523281887995e-07,-1165526.086508566,1.9104722500011502,0.07692793011963063,-0.0,0.0,0.0,0.0,0.06846768159999175,361.9131268629545
1.9750355691678603,-68.23826217460606,2.9363181313348714,492.96141111666395,0.9275636365500551,-1.4389641505680815e-07,-1185746.290292762,1.9104722500011502,0.07692793011963063,-0.0,0.0,0.0,0.0,0.07134565840454471,364.8752740204508
1.9765507206830117,-67.73826217460612,2.9763970940999553,494.6660602300818,0.9182377414385374,-1.4776264445502219e-07,-1206195.7608147373,1.9104722500011504,0.07692793011963066,-0.0,0.0,0.0,0.0,0.07426244407069868,367.8820041237717
1.9780658721981632,-67.23826217460606,3.017289546031771,496.3873945890495,0.9089451016006601,-1.684538865395589e-07,-1226875.4606209486,1.9104722500011504,0.07692793011963064,-0.0,0.0,0.0,0.0,0.07721906438778521,370.9340855360247
1.9795810237133147,-66.73826217460606,3.059014673861608,498.1255640708991,0.8996864247034128,-1.7494320870232387e-07,-1247786.2843376142,1.9104722500011504,0.07692793011963064,-0.0,0.0,0.0,0.0,0.08021657213010489,374.03230021496785
1.9810961752284661,-66.23826217460606,3.101592152875808,499.88071887114495,0.8904624158205876,-1.5530023759734606e-07,-1268929.0538280015,1.9104722500011504,0.07692793011963063,-0.0,0.0,0.0,0.0,0.08325604781012433,377.1774438777797
1.9826113267436176,-65.73826217460612,3.1450421579592303,501.6530093508969,0.8812737773974983,-1.678900424217047e-07,-1290304.5123548345,1.9104722500011504,0.07692793011963064,-0.0,0.0,0.0,0.0,0.08633860013526352,380.37032610872586
1.984126478258769,-65.23826217460618,3.1893853754679764,503.44258597741543,0.8721212091862086,-1.6728092347037975e-07,-1311913.3188537257,1.9104722500011502,0.07692793011963063,-0.0,0.0,0.0,0.0,0.08946536664043432,383.6117704909159
1.9856416297739206,-64.73826217460618,3.2346430149208096,505.2495992160178,0.8630054081924033,-1.7767490238814578e-07,-1333756.0416911892,1.9104722500011502,0.07692793011963064,-0.0,0.0,0.0,0.0,0.09263751425015013,386.90261471444825
1.987156781289072,-64.23826217460612,3.2808368208714023,507.07419942757537,0.8539270686206759,-1.805496586215917e-07,-1355833.1521208852,1.9104722500011502,0.07692793011963063,-0.0,0.0,0.0,0.0,0.0958562398637525,390.24371067714446
1.9886719328042235,-63.73826217460612,3.3279890847724647,508.91653674493176,0.8448868818199115,-1.346005561568818e-07,-1378145.0173167323,1.9104722500011504,0.07692793011963066,-0.0,0.0,0.0,0.0,0.0991227709169687,393.635924569763
1.990187084319375,-63.23826217460618,3.376122656915786,510.77676094814063,0.8358855362347098,-1.794038585112223e-07,-1400691.8930272476,1.9104722500011504,0.07692793011963066,-0.0,0.0,0.0,0.0,0.10243836595302566,397.08013694745966
1.9917022358345264,-62.738262174606234,3.4252609584529896,512.6550213362784,0.8269237173530511,-1.8071398387199597e-07,-1423473.915847217,1.9104722500011506,0.07692793011963064,-0.0,0.0,0.0,0.0,0.10580431519958798,400.5772427888763
1.993217387349678,-62.238262174606234,3.4754279934750922,514.551466596143,0.8180021076521125,-1.878929124793765e-07,-1446491.095087112,1.9104722500011504,0.07692793011963064,-0.0,0.0,0.0,0.0,0.10922194115130945,404.1281515412564
1.9947325388648294,-61.738262174606234,3.526648361000132,516.4662446517766,0.8091213865470185,-1.9977946615562743e-07,-1469743.3041459771,1.9104722500011504,0.07692793011963062,-0.0,0.0,0.0,0.0,0.11269259912841341,407.7337871443932
1.9962476903799808,-61.23826217460629,3.578947266978107,518.3995025132486,0.8002822303390723,-2.2200251074521824e-07,-1493230.2714483228,1.9104722500011506,0.07692793011963062,-0.0,0.0,0.0,0.0,0.11621767784278916,411.395088037844
1.9977628418951323,-60.738262174606234,3.6323505361780395,520.3513861094548,0.7914853121642392,-2.428653863940249e-07,-1516951.5708618888,1.9104722500011504,0.07692793011963062,-0.0,0.0,0.0,0.0,0.1197985999434793,415.11300714555114
1.9992779934102838,-60.238262174606234,3.6868846240032407,522.3220401165026,0.7827313019418934,-2.4783894644328116e-07,-1540906.6116209517,1.9104722500011502,0.07692793011963063,-0.0,0.0,0.0,0.0,0.12343682256059317,418.8885118393487
2.0007931449254355,-59.73826217460618,3.7425766281460935,524.3116077739221,0.7740208663238085,-2.6323407380318704e-07,-1565094.6277018683,1.9104722500011504,0.07692793011963063,-0.0,0.0,0.0,0.0,0.12713383783232604,422.7225838772909
2.002308296440587,-59.238262174606234,3.799454300052057,526.320230690123,0.7653546686433818,-1.702587086510629e-07,-1589514.666633355,1.9104722500011504,0.07692793011963064,-0.0,0.0,0.0,0.0,0.13089117341589673,426.616219315511
2.0038234479557384,-58.738262174606234,3.8575460561362225,528.3480486353154,0.7567333688651026,-1.7647076368384655e-07,-1614165.5777101275,1.9104722500011504,0.07692793011963062,-0.0,0.0,0.0,0.0,0.13471039297715579,430.5704283908188
2.00533859947089,-58.23826217460629,3.916880988744544,530.3951993273339,0.7481576235342178,-1.7652123158149358e-07,-1639045.999608032,1.9104722500011504,0.07692793011963062,-0.0,0.0,0.0,0.0,0.1385930966665709,434.58623537355425
2.0068537509860414,-57.73826217460629,3.977488876689808,532.4618181938012,0.7396280857258809,-1.9418950710340568e-07,-1664154.3473084862,1.9104722500011504,0.07692793011963062,-0.0,0.0,0.0,0.0,0.1425409215493321,438.6646783839452
2.008368902501193,-57.23826217460635,4.0394001955447605,534.5480381460632,0.7311454049978454,-1.9231195605453223e-07,-1689488.798441633,1.9104722500011502,0.07692793011963062,-0.0,0.0,0.0,0.0,0.14655554205057714,442.8068091776952
2.0098840540163443,-56.73826217460629,4.102646127290064,536.6539893138713,0.7227102273398244,-1.8082648232129453e-07,-1715047.2788291061,1.9104722500011502,0.0769279301196306,-0.0,0.0,0.0,0.0,0.15063867032138528,447.0136928868594
